Product Name,Price,Discount,Brand,Product URL,Image URL,Image Name
teamspirit,499,419,https://trends.ajio.com/teamspirit-core-varsity-polo-t-shirt-with-contrast-tipping/p/441113673_greymelange,https://assets.ajio.com/medias/sys_master/root/20210818/xUA0/611c16b2aeb269a268756c30/-286Wx359H-441113673-greymelange-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20210818_xua0_611c16b2aeb269a268756c30_-286wx359h-441113673-....png,
teamspirit,399,335,https://trends.ajio.com/teamspirit-core-rib-v-neck-t-shirt/p/441000449_black,https://assets.ajio.com/medias/sys_master/root/hd5/hf5/13498993737758/-286Wx359H-441000449-black-MODEL.jpg,assets_ajio_com_medias_sys_master_root_hd5_hf5_13498993737758_-286wx359h-441000449-black-model_jpg.png,
performax,"1,499",750,https://trends.ajio.com/performax-fast-dry-zip-front-hooded-jacket/p/441129540_ltblue,https://assets.ajio.com/medias/sys_master/root/20220208/h6cc/620165aeaeb26921af8d3ff4/-286Wx359H-441129540-ltblue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220208_h6cc_620165aeaeb26921af8d3ff4_-286wx359h-441129540-....png,
performax,599,449,https://trends.ajio.com/performax-typographic-print-quick-dry-crew-neck-t-shirt/p/441134762_white,https://assets.ajio.com/medias/sys_master/root/20220309/dUw2/6227b491aeb26921afcdd8cd/-286Wx359H-441134762-white-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220309_duw2_6227b491aeb26921afcdd8cd_-286wx359h-441134762-....png,
teamspirit,999,649,https://trends.ajio.com/teamspirit-brand-print-slim-fit-joggers/p/441132372_navy,https://assets.ajio.com/medias/sys_master/root/20220107/U2UN/61d858d5f997dd6623151759/-286Wx359H-441132372-navy-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220107_u2un_61d858d5f997dd6623151759_-286wx359h-441132372-....png,
performax,799,400,https://trends.ajio.com/performax-heathered-quick-dry-crew-neck-t-shirt/p/441129819_ltblue,https://assets.ajio.com/medias/sys_master/root/20220114/vGia/61e1a9caaeb2695cdd15e7c9/-286Wx359H-441129819-ltblue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220114_vgia_61e1a9caaeb2695cdd15e7c9_-286wx359h-441129819-....png,
teamspirit,599,503,https://trends.ajio.com/teamspirit-joggers-with-insert-pockets/p/441031714_olive,https://assets.ajio.com/medias/sys_master/root/20210205/zH9n/601c48f1f997dd5c40e7fbb7/-286Wx359H-441031714-olive-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20210205_zh9n_601c48f1f997dd5c40e7fbb7_-286wx359h-441031714-....png,
performax,"1,499","1,499",https://trends.ajio.com/performax-low-top-lace-up-sports-shoes/p/450137679_bluegrey,https://assets.ajio.com/medias/sys_master/root/20210130/vYPJ/601459a67cdb8c1f143245e2/-286Wx359H-450137679-bluegrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20210130_vypj_601459a67cdb8c1f143245e2_-286wx359h-450137679-....png,
performax,799,559,https://trends.ajio.com/performax-bermuda-shorts-with-striped-panel/p/441134804_grey,https://assets.ajio.com/medias/sys_master/root/20220222/O3rS/6213f0c9f997dd03e2df2462/-286Wx359H-441134804-grey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220222_o3rs_6213f0c9f997dd03e2df2462_-286wx359h-441134804-....png,
teamspirit,599,425,https://trends.ajio.com/teamspirit-cloud-tie--dye-print-crew-neck-t-shirt/p/441133310_coral,https://assets.ajio.com/medias/sys_master/root/20220318/FAmX/623389b2f997dd03e21c23d3/-286Wx359H-441133310-coral-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220318_famx_623389b2f997dd03e21c23d3_-286wx359h-441133310-....png,
performax,"1,299",779,https://trends.ajio.com/performax-textured-track-pants-with-contrast-taping/p/441129787_ltgrey,https://assets.ajio.com/medias/sys_master/root/20220120/0wmY/61e982bcaeb2695cdd22525f/-286Wx359H-441129787-ltgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220120_0wmy_61e982bcaeb2695cdd22525f_-286wx359h-441129787-....png,
performax,"1,299",909,https://trends.ajio.com/performax-brand-print-shorts-with-elasticated-waist/p/441134834_darkgrey,https://assets.ajio.com/medias/sys_master/root/20220315/jubb/622fa039aeb26921afd7e4b3/-286Wx359H-441134834-darkgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220315_jubb_622fa039aeb26921afd7e4b3_-286wx359h-441134834-....png,
teamspirit,899,584,https://trends.ajio.com/teamspirit-herringbone-mid-rise-slim-fit-track-pants-with-elasticated-drawstring-waist/p/441133897_charcoal,https://assets.ajio.com/medias/sys_master/root/20211207/kXTl/61ae8b7caeb2690110f8ea55/-286Wx359H-441133897-charcoal-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211207_kxtl_61ae8b7caeb2690110f8ea55_-286wx359h-441133897-....png,
teamspirit,999,649,https://trends.ajio.com/teamspirit-reflective-print-coordinate-slim-fit-joggers/p/441133894_navy,https://assets.ajio.com/medias/sys_master/root/20211202/eAuG/61a7d066aeb2690110e9fa8d/-286Wx359H-441133894-navy-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20211202_eaug_61a7d066aeb2690110e9fa8d_-286wx359h-441133894-....png,
performax,"1,499",750,https://trends.ajio.com/performax-zip-front-quick-dry-hybrid-jacket/p/441129545_darkgrey,https://assets.ajio.com/medias/sys_master/root/20220114/Tq22/61e1a606aeb2695cdd15dd53/-286Wx359H-441129545-darkgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220114_tq22_61e1a606aeb2695cdd15dd53_-286wx359h-441129545-....png,
performax,799,479,https://trends.ajio.com/performax-typographic-print-crew-neck-t-shirt/p/441129831_blue,https://assets.ajio.com/medias/sys_master/root/20220114/t59z/61e1907bf997dd662322084d/-286Wx359H-441129831-blue-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220114_t59z_61e1907bf997dd662322084d_-286wx359h-441129831-....png,
performax,799,559,https://trends.ajio.com/performax-logo-print-shorts-with-insert-pockets/p/441134790_darkgrey,https://assets.ajio.com/medias/sys_master/root/20220415/MYZo/62598e99f997dd03e2617bfe/-286Wx359H-441134790-darkgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220415_myzo_62598e99f997dd03e2617bfe_-286wx359h-441134790-....png,
performax,799,799,https://trends.ajio.com/performax-low-top-slip-on-sports-shoes/p/450146601_skyblu,https://assets.ajio.com/medias/sys_master/root/20220408/WfEp/624f44dbf997dd03e24e30fa/-286Wx359H-450146601-skyblu-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220408_wfep_624f44dbf997dd03e24e30fa_-286wx359h-450146601-....png,
performax,499,499,https://trends.ajio.com/performax-crew-neck-t-shirt-with-raglan-sleeves/p/441144578_darkgrey,https://assets.ajio.com/medias/sys_master/root/20220601/WM2V/62975e49aeb26921af04fe4f/-286Wx359H-441144578-darkgrey-MODEL.jpg,assets_ajio_com_medias_sys_master_root_20220601_wm2v_62975e49aeb26921af04fe4f_-286wx359h-441144578-....png,
